region,distrito,n_constituyentes,comuna,circunscripcion
DE VALPARAISO,DISTRITO 7,7,ALGARROBO,ALGARROBO
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,ALHUE,ALHUE
DEL BIOBIO,DISTRITO 21,4,ALTO BIOBIO,ALTO BIOBIO
DEL BIOBIO,DISTRITO 21,4,ALTO BIOBIO,CAUÑICU
DEL BIOBIO,DISTRITO 21,4,ALTO BIOBIO,RALCO LEPOY
DE ATACAMA,DISTRITO 4,4,ALTO DEL CARMEN,ALTO DEL CARMEN
DE ATACAMA,DISTRITO 4,4,ALTO DEL CARMEN,EL TRANSITO
DE ATACAMA,DISTRITO 4,4,ALTO DEL CARMEN,SAN FELIX
DE TARAPACA,DISTRITO 2,3,ALTO HOSPICIO,ALTO HOSPICIO
DE LOS LAGOS,DISTRITO 26,4,ANCUD,ANCUD
DE LOS LAGOS,DISTRITO 26,4,ANCUD,CHACAO
DE LOS LAGOS,DISTRITO 26,4,ANCUD,PILLUCO
DE COQUIMBO,DISTRITO 5,6,ANDACOLLO,ANDACOLLO
DE LA ARAUCANIA,DISTRITO 22,3,ANGOL,ANGOL
DE LA ARAUCANIA,DISTRITO 22,3,ANGOL,HUEQUEN
DE ANTOFAGASTA,DISTRITO 3,4,ANTOFAGASTA,ANTOFAGASTA NORTE
DE ANTOFAGASTA,DISTRITO 3,4,ANTOFAGASTA,ANTOFAGASTA SUR
DEL BIOBIO,DISTRITO 21,4,ANTUCO,ANTUCO
DEL BIOBIO,DISTRITO 21,4,ARAUCO,ARAUCO
DEL BIOBIO,DISTRITO 21,4,ARAUCO,CARAMPANGUE
DEL BIOBIO,DISTRITO 21,4,ARAUCO,LARAQUETE
DEL BIOBIO,DISTRITO 21,4,ARAUCO,LLICO
DEL BIOBIO,DISTRITO 21,4,ARAUCO,PUNTA LAVAPIE
DEL BIOBIO,DISTRITO 21,4,ARAUCO,RAMADILLAS
DEL BIOBIO,DISTRITO 21,4,ARAUCO,TUBUL
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,ARICA
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,ARICA NORTE
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,SAN MIGUEL DE AZAPA
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,SECTOR EX BARRIO INDUSTRIAL DE ARICA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,AISEN
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,MAÑIHUALES
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,PUERTO AGUIRRE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,PUERTO CHACABUCO
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,BUIN,ALTO JAHUEL
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,BUIN,BUIN
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,BUIN,VALDIVIA DE PAINE
DE ÑUBLE,DISTRITO 19,5,BULNES,BULNES
DE ÑUBLE,DISTRITO 19,5,BULNES,SANTA CLARA
DE VALPARAISO,DISTRITO 6,8,CABILDO,CABILDO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,ANTARTICA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,CABO DE HORNOS (NAVARINO)
DEL BIOBIO,DISTRITO 21,4,CABRERO,CABRERO
DEL BIOBIO,DISTRITO 21,4,CABRERO,MONTE AGUILA
DE ANTOFAGASTA,DISTRITO 3,4,CALAMA,CALAMA
DE ANTOFAGASTA,DISTRITO 3,4,CALAMA,CHIU CHIU
DE ANTOFAGASTA,DISTRITO 3,4,CALAMA,CHUQUICAMATA
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,CALBUCO
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,COLACO
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,ISLA GUAR
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,ISLA PULUQUI
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,PARGUA
DE ATACAMA,DISTRITO 4,4,CALDERA,CALDERA
DE VALPARAISO,DISTRITO 6,8,CALERA,CALERA
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,CALERA DE TANGO,CALERA DE TANGO
DE VALPARAISO,DISTRITO 6,8,CALLE LARGA,CALLE LARGA
DE ARICA Y PARINACOTA,DISTRITO 1,3,CAMARONES,CAMARONES
DE ARICA Y PARINACOTA,DISTRITO 1,3,CAMARONES,CODPA
DE TARAPACA,DISTRITO 2,3,CAMIÑA,CAMIÑA
DE COQUIMBO,DISTRITO 5,6,CANELA,CANELA (CANELA BAJA)
DE COQUIMBO,DISTRITO 5,6,CANELA,MINCHA
DEL BIOBIO,DISTRITO 21,4,CAÑETE,CAÑETE
DE LA ARAUCANIA,DISTRITO 23,6,CARAHUE,CARAHUE
DE LA ARAUCANIA,DISTRITO 23,6,CARAHUE,NEHUENTUE
